season,squad,winner,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,G+A-PK,Attendance,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,xG,xGA,xGD,xGD/90,Pts
2014-2015,Torino,0,31.0,28.1,49.2,38.0,418.0,3420.0,38.0,1.26,0.84,2.11,1.18,3.0,6.0,100.0,0.0,2.03,15674.0,473.0,177.0,31.95,12.47,4.66,0.09,0.25,18.1,,,,,54
2014-2015,Udinese,0,28.0,26.9,46.5,38.0,418.0,3420.0,38.0,1.08,0.71,1.79,1.05,1.0,1.0,99.0,0.0,1.76,8936.0,473.0,132.0,31.95,12.47,3.47,0.09,0.3,18.1,,,,,41
2015-2016,Atalanta,0,33.0,27.8,48.4,38.0,418.0,3420.0,38.0,1.0,0.61,1.61,0.89,4.0,6.0,114.0,0.0,1.5,15945.0,473.0,135.0,31.95,12.47,3.55,0.09,0.25,18.1,,,,,45
2015-2016,Bologna,0,31.0,27.0,45.8,38.0,418.0,3420.0,38.0,0.87,0.58,1.45,0.82,2.0,3.0,98.0,0.0,1.39,20908.0,473.0,110.0,31.95,12.47,2.89,0.09,0.28,18.1,,,,,42
2015-2016,Carpi,0,35.0,25.9,38.6,38.0,418.0,3420.0,38.0,0.87,0.58,1.45,0.74,5.0,8.0,115.0,0.0,1.32,8808.0,473.0,126.0,31.95,12.47,3.32,0.09,0.22,18.1,,,,,38
2015-2016,Chievo,0,26.0,30.5,45.3,38.0,418.0,3420.0,38.0,1.11,0.74,1.84,0.97,5.0,8.0,108.0,0.0,1.71,11132.0,473.0,130.0,31.95,12.47,3.42,0.09,0.28,18.1,,,,,50
2015-2016,Empoli,0,29.0,25.4,52.5,38.0,418.0,3420.0,38.0,1.03,0.76,1.79,1.0,1.0,2.0,101.0,0.0,1.76,10220.0,473.0,147.0,31.95,12.47,3.87,0.09,0.26,18.1,,,,,46
2015-2016,Fiorentina,0,26.0,27.6,61.0,38.0,418.0,3420.0,38.0,1.53,1.0,2.53,1.32,8.0,9.0,102.0,0.0,2.32,29698.0,473.0,178.0,31.95,12.47,4.68,0.09,0.28,18.1,,,,,64
2015-2016,Frosinone,0,28.0,26.5,39.7,38.0,418.0,3420.0,38.0,0.89,0.58,1.47,0.82,3.0,3.0,116.0,0.0,1.39,7250.0,473.0,127.0,31.95,12.47,3.34,0.09,0.24,18.1,,,,,31
2015-2016,Genoa,0,30.0,26.7,50.2,38.0,418.0,3420.0,38.0,1.16,0.92,2.08,1.05,4.0,4.0,91.0,0.0,1.97,20938.0,473.0,150.0,31.95,12.47,3.95,0.09,0.27,18.1,,,,,46
2015-2016,Hellas Verona,0,32.0,27.5,45.3,38.0,418.0,3420.0,38.0,0.89,0.61,1.5,0.74,6.0,7.0,97.0,0.0,1.34,18184.0,473.0,140.0,31.95,12.47,3.68,0.09,0.2,18.1,,,,,28
2015-2016,Inter,0,28.0,26.7,55.0,38.0,418.0,3420.0,38.0,1.29,0.92,2.21,1.24,2.0,3.0,104.0,0.0,2.16,45538.0,473.0,170.0,31.95,12.47,4.47,0.09,0.28,18.1,,,,,67
2015-2016,Juventus,1,28.0,28.3,56.0,38.0,418.0,3420.0,38.0,1.89,1.42,3.32,1.66,9.0,9.0,97.0,0.0,3.08,38463.0,473.0,213.0,31.95,12.47,5.61,0.09,0.3,18.1,,,,,91
2015-2016,Lazio,0,27.0,27.6,54.4,38.0,418.0,3420.0,38.0,1.37,0.82,2.18,1.13,9.0,11.0,107.0,0.0,1.95,20561.0,473.0,150.0,31.95,12.47,3.95,0.09,0.29,18.1,,,,,54
2015-2016,Milan,0,30.0,26.4,52.9,38.0,418.0,3420.0,38.0,1.29,0.74,2.03,1.13,6.0,7.0,96.0,0.0,1.87,37823.0,473.0,165.0,31.95,12.47,4.34,0.09,0.26,18.1,,,,,57
2015-2016,Napoli,0,22.0,26.5,62.6,38.0,418.0,3420.0,38.0,2.05,1.47,3.53,1.87,7.0,8.0,72.0,0.0,3.34,39436.0,473.0,244.0,31.95,12.47,6.42,0.09,0.29,18.1,,,,,82
2015-2016,Palermo,0,31.0,26.8,43.2,38.0,418.0,3420.0,38.0,0.97,0.82,1.79,0.95,1.0,1.0,103.0,0.0,1.76,19108.0,473.0,134.0,31.95,12.47,3.53,0.09,0.27,18.1,,,,,39
2015-2016,Roma,0,32.0,26.2,57.7,38.0,418.0,3420.0,38.0,2.18,1.45,3.63,2.08,4.0,4.0,87.0,0.0,3.53,40190.0,473.0,220.0,31.95,12.47,5.79,0.09,0.36,18.1,,,,,80
2015-2016,Sampdoria,0,35.0,27.5,49.4,38.0,418.0,3420.0,38.0,1.18,0.79,1.97,1.11,3.0,3.0,111.0,0.0,1.89,21969.0,473.0,150.0,31.95,12.47,3.95,0.09,0.28,18.1,,,,,40
2015-2016,Sassuolo,0,26.0,27.0,51.1,38.0,418.0,3420.0,38.0,1.26,0.87,2.13,1.16,4.0,5.0,98.0,0.0,2.03,12078.0,473.0,166.0,31.95,12.47,4.37,0.09,0.27,18.1,,,,,61
2015-2016,Torino,0,27.0,27.6,47.5,38.0,418.0,3420.0,38.0,1.29,0.76,2.05,1.05,9.0,11.0,99.0,0.0,1.82,19560.0,473.0,173.0,31.95,12.47,4.55,0.09,0.23,18.1,,,,,45
2015-2016,Udinese,0,28.0,27.6,44.4,38.0,418.0,3420.0,38.0,0.89,0.61,1.5,0.84,2.0,2.0,105.0,0.0,1.45,16698.0,473.0,147.0,31.95,12.47,3.87,0.09,0.22,18.1,,,,,39
2016-2017,Atalanta,0,32.0,25.2,50.2,38.0,417.0,3420.0,38.0,1.63,1.13,2.76,1.5,5.0,5.0,90.0,2.0,2.63,16946.0,536.0,201.0,37.5,14.11,5.29,0.11,0.28,18.1,,,,,72
2016-2017,Bologna,0,28.0,26.3,46.3,38.0,418.0,3420.0,38.0,1.03,0.76,1.79,1.0,1.0,2.0,87.0,2.0,1.76,21912.0,424.0,145.0,34.2,11.16,3.82,0.09,0.26,18.1,,,,,41
2016-2017,Cagliari,0,34.0,28.7,43.2,38.0,418.0,3420.0,38.0,1.39,0.79,2.18,1.29,4.0,6.0,104.0,3.0,2.08,13024.0,431.0,161.0,37.4,11.34,4.24,0.11,0.3,18.1,,,,,47
2016-2017,Chievo,0,29.0,31.3,46.7,38.0,418.0,3420.0,38.0,1.11,0.76,1.87,1.0,4.0,5.0,88.0,3.0,1.76,12711.0,405.0,129.0,31.9,10.66,3.39,0.09,0.29,18.1,,,,,43
2016-2017,Crotone,0,31.0,26.0,37.1,38.0,418.0,3420.0,38.0,0.89,0.58,1.47,0.79,4.0,5.0,93.0,3.0,1.37,8226.0,408.0,129.0,31.6,10.74,3.39,0.07,0.23,18.1,,,,,34
2016-2017,Empoli,0,29.0,26.8,49.0,38.0,418.0,3420.0,38.0,0.76,0.5,1.26,0.66,4.0,5.0,107.0,0.0,1.16,9483.0,364.0,127.0,34.9,9.58,3.34,0.07,0.2,18.1,,,,,32
2016-2017,Fiorentina,0,30.0,27.3,58.3,38.0,418.0,3420.0,38.0,1.63,1.21,2.84,1.47,6.0,10.0,98.0,3.0,2.68,26470.0,614.0,224.0,36.5,16.16,5.89,0.09,0.25,18.1,,,,,60
2016-2017,Genoa,0,33.0,26.9,48.8,38.0,418.0,3420.0,38.0,0.95,0.79,1.74,0.89,2.0,3.0,97.0,4.0,1.68,21445.0,453.0,148.0,32.7,11.92,3.89,0.08,0.23,18.1,,,,,36
2016-2017,Inter,0,29.0,27.5,56.4,38.0,418.0,3420.0,38.0,1.84,1.45,3.29,1.76,3.0,5.0,81.0,3.0,3.21,45689.0,636.0,212.0,33.3,16.74,5.58,0.11,0.32,18.1,,,,,62
2016-2017,Juventus,1,27.0,29.1,57.0,38.0,418.0,3420.0,38.0,1.89,1.29,3.18,1.82,3.0,3.0,70.0,0.0,3.11,39518.0,588.0,211.0,35.9,15.47,5.55,0.12,0.33,18.1,,,,,91
2016-2017,Lazio,0,30.0,26.0,51.0,38.0,418.0,3420.0,38.0,1.92,1.24,3.16,1.61,12.0,14.0,96.0,3.0,2.84,21053.0,590.0,212.0,35.9,15.53,5.58,0.1,0.29,18.1,,,,,70
2016-2017,Milan,0,28.0,25.0,54.1,38.0,418.0,3420.0,38.0,1.45,1.03,2.47,1.26,7.0,12.0,98.0,9.0,2.29,40294.0,556.0,191.0,34.4,14.63,5.03,0.09,0.25,18.1,,,,,63
2016-2017,Napoli,0,26.0,26.9,62.1,38.0,418.0,3420.0,38.0,2.47,1.79,4.26,2.34,5.0,6.0,58.0,0.0,4.13,36605.0,672.0,261.0,38.8,17.68,6.87,0.13,0.34,18.1,,,,,86
2016-2017,Palermo,0,30.0,26.1,45.6,38.0,418.0,3420.0,38.0,0.87,0.63,1.5,0.84,1.0,1.0,107.0,6.0,1.47,12871.0,385.0,119.0,30.9,10.13,3.13,0.08,0.27,18.1,,,,,26
2016-2017,Pescara,0,34.0,26.6,46.4,38.0,418.0,3420.0,38.0,0.84,0.71,1.55,0.79,2.0,6.0,98.0,3.0,1.5,13308.0,449.0,145.0,32.3,11.82,3.82,0.07,0.21,18.1,,,,,18
2016-2017,Roma,0,22.0,26.7,57.1,38.0,418.0,3420.0,38.0,2.32,1.55,3.87,2.0,12.0,14.0,64.0,0.0,3.55,32638.0,677.0,235.0,34.7,17.82,6.18,0.11,0.32,18.1,,,,,87
2016-2017,Sampdoria,0,24.0,26.6,52.3,38.0,418.0,3420.0,38.0,1.18,0.82,2.0,1.0,7.0,8.0,75.0,1.0,1.82,19852.0,504.0,165.0,32.7,13.26,4.34,0.08,0.23,18.1,,,,,48
2016-2017,Sassuolo,0,28.0,26.7,46.8,38.0,418.0,3420.0,38.0,1.55,0.95,2.5,1.32,9.0,10.0,90.0,0.0,2.26,12362.0,445.0,173.0,38.9,11.71,4.55,0.11,0.29,18.1,,,,,46
2016-2017,Torino,0,29.0,26.4,50.7,38.0,418.0,3420.0,38.0,1.84,1.42,3.26,1.71,5.0,9.0,88.0,3.0,3.13,19300.0,580.0,185.0,31.9,15.26,4.87,0.11,0.35,18.1,,,,,53
2016-2017,Udinese,0,29.0,26.7,41.8,38.0,418.0,3420.0,38.0,1.24,0.76,2.0,1.18,2.0,3.0,85.0,0.0,1.95,16716.0,435.0,155.0,35.6,11.45,4.08,0.1,0.29,18.1,,,,,45
2017-2018,Atalanta,0,25.0,25.7,55.4,38.0,418.0,3420.0,38.0,64.1,57.2,44.7,101.8,5.0,9.0,66.0,3.0,933.0,64.1,570.0,192.0,33.7,15.0,5.05,0.09,0.27,16.9,,,,,60
2017-2018,Benevento,0,41.0,26.0,47.5,38.0,418.0,3420.0,38.0,38.3,36.0,28.8,64.7,2.0,3.0,79.0,3.0,772.0,38.3,470.0,145.0,30.9,12.37,3.82,0.06,0.21,19.8,,,,,21
2017-2018,Bologna,0,30.0,26.8,46.8,38.0,418.0,3420.0,38.0,36.6,34.3,24.3,58.6,2.0,3.0,101.0,3.0,586.0,36.6,356.0,119.0,33.4,9.37,3.13,0.1,0.29,19.4,,,,,39
2017-2018,Cagliari,0,29.0,27.1,45.3,38.0,418.0,3420.0,38.0,39.7,34.2,27.4,61.6,4.0,7.0,96.0,3.0,464.0,39.7,374.0,113.0,30.2,9.84,2.97,0.08,0.26,18.3,,,,,39
2017-2018,Chievo,0,25.0,30.3,44.4,38.0,418.0,3420.0,38.0,34.1,32.5,25.2,57.7,1.0,2.0,75.0,3.0,554.0,34.1,389.0,131.0,33.7,10.24,3.45,0.09,0.27,18.7,,,,,40
2017-2018,Crotone,0,29.0,25.6,39.9,38.0,418.0,3420.0,38.0,34.6,32.2,23.4,55.6,2.0,3.0,65.0,3.0,472.0,34.6,378.0,129.0,34.1,9.95,3.39,0.1,0.28,20.0,,,,,35
2017-2018,Fiorentina,0,27.0,25.0,52.6,38.0,418.0,3420.0,38.0,54.5,48.3,37.9,86.2,7.0,8.0,89.0,3.0,737.0,54.5,611.0,179.0,29.3,16.08,4.71,0.08,0.26,19.3,,,,,57
2017-2018,Genoa,0,33.0,27.9,46.3,38.0,418.0,3420.0,38.0,43.5,39.6,31.9,71.5,4.0,5.0,75.0,3.0,699.0,43.5,413.0,120.0,29.1,10.87,3.16,0.07,0.23,17.5,,,,,41
2017-2018,Hellas Verona,0,32.0,25.9,41.9,38.0,418.0,3420.0,38.0,33.0,27.7,21.1,48.8,7.0,7.0,98.0,3.0,635.0,33.0,354.0,89.0,25.1,9.32,2.34,0.06,0.26,20.5,,,,,25
2017-2018,Inter,0,22.0,27.6,57.1,38.0,418.0,3420.0,38.0,56.7,51.3,43.8,95.2,6.0,7.0,69.0,3.0,947.0,56.7,565.0,195.0,34.5,14.87,5.13,0.1,0.3,18.0,,,,,72
2017-2018,Juventus,1,24.0,29.2,57.2,38.0,418.0,3420.0,38.0,55.3,49.4,37.9,87.2,4.0,8.0,66.0,3.0,789.0,55.3,546.0,198.0,36.3,14.37,5.21,0.14,0.39,18.9,,,,,95
2017-2018,Lazio,0,24.0,26.5,51.1,38.0,418.0,3420.0,38.0,63.7,55.2,45.8,101.0,9.0,11.0,79.0,3.0,915.0,63.7,542.0,199.0,36.7,14.26,5.24,0.14,0.39,18.4,,,,,72
2017-2018,Milan,0,24.0,25.0,56.0,38.0,418.0,3420.0,38.0,51.2,46.6,35.3,81.9,4.0,6.0,75.0,3.0,778.0,51.2,606.0,214.0,35.3,15.95,5.63,0.08,0.23,19.6,,,,,64
2017-2018,Napoli,0,23.0,28.0,63.4,38.0,418.0,3420.0,38.0,67.1,60.7,50.8,111.6,6.0,8.0,58.0,3.0,971.0,67.1,648.0,245.0,37.8,17.05,6.45,0.1,0.27,19.0,,,,,91
2017-2018,Roma,0,27.0,27.4,58.0,38.0,418.0,3420.0,38.0,63.4,58.8,46.7,105.5,3.0,6.0,48.0,3.0,938.0,63.4,637.0,199.0,31.2,16.76,5.24,0.08,0.27,18.6,,,,,77
2017-2018,SPAL,0,29.0,26.7,44.7,38.0,418.0,3420.0,38.0,35.8,31.1,21.5,52.5,5.0,6.0,101.0,3.0,704.0,35.8,368.0,109.0,29.6,9.68,2.87,0.09,0.29,19.6,,,,,38
2017-2018,Sampdoria,0,27.0,27.0,53.6,38.0,418.0,3420.0,38.0,53.5,47.2,35.5,82.7,7.0,8.0,69.0,3.0,614.0,53.5,474.0,163.0,34.4,12.47,4.29,0.1,0.3,18.8,,,,,54
2017-2018,Sassuolo,0,28.0,27.2,42.9,38.0,418.0,3420.0,38.0,46.3,38.4,27.7,66.1,4.0,10.0,89.0,3.0,640.0,46.3,489.0,134.0,27.4,12.87,3.53,0.05,0.18,19.5,,,,,43
2017-2018,Torino,0,27.0,28.1,51.1,38.0,418.0,3420.0,38.0,46.0,44.4,35.1,79.6,0.0,2.0,78.0,3.0,703.0,46.0,449.0,151.0,33.6,11.82,3.97,0.12,0.35,17.8,,,,,54
2017-2018,Udinese,0,27.0,26.5,44.7,38.0,418.0,3420.0,38.0,43.2,37.7,29.4,67.1,7.0,7.0,72.0,3.0,605.0,43.2,436.0,131.0,30.0,11.47,3.45,0.09,0.29,19.1,,,,,40
2018-2019,Atalanta,0,27.0,26.5,57.3,38.0,418.0,3420.0,38.0,72.2,69.0,55.8,124.8,2.0,4.0,63.0,3.0,1104.0,72.2,637.0,214.0,33.6,16.76,5.63,0.11,0.34,16.6,,,,,69
2018-2019,Bologna,0,29.0,27.0,44.9,38.0,418.0,3420.0,38.0,46.8,42.9,30.8,73.7,5.0,5.0,94.0,6.0,675.0,46.8,495.0,158.0,31.9,13.03,4.16,0.08,0.25,18.7,,,,,44
2018-2019,Cagliari,0,30.0,27.9,49.8,38.0,418.0,3420.0,38.0,42.1,39.7,30.7,70.4,2.0,3.0,99.0,9.0,555.0,42.1,433.0,124.0,28.6,11.39,3.26,0.08,0.27,17.9,,,,,41
2018-2019,Chievo,0,36.0,28.3,43.3,38.0,418.0,3420.0,38.0,36.0,31.7,25.6,57.3,4.0,6.0,116.0,7.0,500.0,36.0,385.0,110.0,28.6,10.13,2.89,0.05,0.19,19.6,,,,,17
2018-2019,Empoli,0,29.0,26.4,47.9,38.0,418.0,3420.0,38.0,52.4,46.8,37.5,84.3,4.0,7.0,74.0,3.0,801.0,52.4,450.0,148.0,32.9,11.84,3.89,0.1,0.3,17.8,,,,,38
2018-2019,Fiorentina,0,27.0,24.1,50.4,38.0,418.0,3420.0,38.0,54.0,49.2,35.8,85.0,5.0,6.0,91.0,5.0,801.0,54.0,579.0,168.0,29.0,15.24,4.42,0.07,0.24,18.6,,,,,41
2018-2019,Frosinone,0,33.0,26.4,41.5,38.0,418.0,3420.0,38.0,38.9,35.1,27.1,62.2,4.0,5.0,99.0,2.0,520.0,38.9,450.0,120.0,26.7,11.84,3.16,0.05,0.2,19.3,,,,,25
2018-2019,Genoa,0,31.0,26.0,43.4,38.0,418.0,3420.0,38.0,46.9,43.0,32.5,75.5,4.0,5.0,96.0,7.0,690.0,46.9,528.0,147.0,27.8,13.89,3.87,0.06,0.22,18.9,,,,,38
2018-2019,Inter,0,23.0,27.7,59.4,38.0,418.0,3420.0,38.0,63.8,56.8,45.4,102.3,8.0,9.0,75.0,3.0,954.0,63.8,625.0,186.0,29.8,16.45,4.89,0.08,0.26,18.0,,,,,69
2018-2019,Juventus,1,31.0,28.0,55.9,38.0,418.0,3420.0,38.0,60.7,54.5,42.5,97.1,7.0,8.0,78.0,4.0,926.0,60.7,601.0,191.0,31.8,15.82,5.03,0.1,0.31,18.4,,,,,90
2018-2019,Lazio,0,30.0,27.9,50.8,38.0,418.0,3420.0,38.0,60.4,55.8,44.4,100.2,6.0,6.0,90.0,4.0,912.0,60.4,606.0,182.0,30.0,15.95,4.79,0.08,0.26,18.2,,,,,59
2018-2019,Milan,0,23.0,24.8,54.1,38.0,418.0,3420.0,38.0,48.8,45.7,35.6,81.3,3.0,4.0,82.0,5.0,821.0,48.8,582.0,192.0,33.0,15.32,5.05,0.08,0.25,19.6,,,,,68
2018-2019,Napoli,0,26.0,27.0,59.1,38.0,418.0,3420.0,38.0,61.8,58.8,49.4,108.2,3.0,4.0,75.0,5.0,934.0,61.8,702.0,231.0,32.9,18.47,6.08,0.1,0.3,19.5,,,,,79
2018-2019,Parma,0,31.0,29.4,37.7,38.0,418.0,3420.0,38.0,40.2,36.3,26.9,63.1,4.0,5.0,84.0,3.0,487.0,40.2,350.0,105.0,30.0,9.21,2.76,0.1,0.34,19.1,,,,,41
2018-2019,Roma,0,26.0,27.5,51.4,38.0,418.0,3420.0,38.0,64.4,59.6,46.2,105.8,6.0,6.0,90.0,2.0,838.0,64.4,616.0,210.0,34.1,16.21,5.53,0.1,0.28,17.1,,,,,66
2018-2019,SPAL,0,28.0,27.8,50.4,38.0,418.0,3420.0,38.0,43.9,37.7,28.2,65.8,7.0,8.0,113.0,3.0,910.0,43.9,454.0,129.0,28.4,11.95,3.39,0.08,0.29,18.2,,,,,42
2018-2019,Sampdoria,0,24.0,26.1,54.9,38.0,418.0,3420.0,38.0,50.5,41.8,34.1,75.9,10.0,12.0,92.0,3.0,630.0,50.5,475.0,166.0,34.9,12.5,4.37,0.11,0.3,19.9,,,,,53
2018-2019,Sassuolo,0,29.0,25.4,53.8,38.0,418.0,3420.0,38.0,48.5,44.6,34.1,78.8,5.0,5.0,90.0,8.0,721.0,48.5,507.0,150.0,29.6,13.34,3.95,0.09,0.3,19.8,,,,,43
2018-2019,Torino,0,25.0,27.6,51.1,38.0,418.0,3420.0,38.0,46.6,41.9,32.0,73.9,5.0,6.0,89.0,4.0,770.0,46.6,513.0,175.0,34.1,13.5,4.61,0.09,0.26,18.7,,,,,63
2018-2019,Udinese,0,31.0,25.3,42.6,38.0,418.0,3420.0,38.0,42.5,36.0,27.9,63.9,3.0,8.0,92.0,4.0,713.0,42.5,455.0,119.0,26.2,11.97,3.13,0.07,0.29,20.7,,,,,43
2019-2020,Atalanta,0,30.0,27.2,57.2,38.0,418.0,3420.0,38.0,83.5,75.6,58.9,134.5,7.0,10.0,80.0,2.0,978.0,83.5,700.0,256.0,36.6,18.42,6.74,0.13,0.35,17.3,,,,,78
2019-2020,Bologna,0,31.0,27.2,52.6,38.0,418.0,3420.0,38.0,56.9,52.2,41.3,93.5,5.0,6.0,109.0,7.0,799.0,56.9,549.0,160.0,29.1,14.45,4.21,0.08,0.27,18.8,,,,,47
2019-2020,Brescia,0,32.0,25.6,40.6,38.0,418.0,3420.0,38.0,43.4,40.2,28.8,69.0,4.0,4.0,95.0,6.0,537.0,43.4,414.0,138.0,33.3,10.89,3.63,0.07,0.22,17.9,,,,,25
2019-2020,Cagliari,0,33.0,27.4,45.7,38.0,418.0,3420.0,38.0,41.8,37.1,32.0,69.0,4.0,6.0,108.0,6.0,662.0,41.8,438.0,136.0,31.1,11.53,3.58,0.11,0.34,19.5,,,,,45
2019-2020,Fiorentina,0,33.0,25.1,47.4,38.0,418.0,3420.0,38.0,53.6,45.4,34.5,79.8,9.0,11.0,105.0,5.0,857.0,53.6,538.0,170.0,31.6,14.16,4.47,0.07,0.23,18.2,,,,,49
2019-2020,Genoa,0,34.0,26.8,49.5,38.0,418.0,3420.0,38.0,48.7,36.2,27.6,63.7,11.0,16.0,107.0,10.0,583.0,48.7,420.0,140.0,33.3,11.05,3.68,0.08,0.25,19.2,,,,,39
2019-2020,Hellas Verona,0,30.0,26.1,49.8,38.0,418.0,3420.0,38.0,50.5,43.6,34.5,78.1,8.0,9.0,87.0,7.0,728.0,50.5,435.0,146.0,33.6,11.45,3.84,0.09,0.25,17.4,,,,,49
2019-2020,Inter,0,29.0,27.7,54.2,38.0,418.0,3420.0,38.0,69.4,60.8,44.0,104.7,10.0,11.0,104.0,6.0,797.0,69.4,607.0,216.0,35.6,15.97,5.68,0.12,0.32,17.6,,,,,82
2019-2020,Juventus,1,30.0,28.6,58.1,38.0,418.0,3420.0,38.0,71.1,60.1,45.5,105.6,13.0,14.0,87.0,3.0,879.0,71.1,665.0,224.0,33.7,17.5,5.89,0.09,0.27,19.0,,,,,83
2019-2020,Lazio,0,27.0,27.9,50.4,38.0,418.0,3420.0,38.0,68.0,53.9,42.5,96.4,15.0,18.0,99.0,2.0,935.0,68.0,562.0,204.0,36.3,14.79,5.37,0.11,0.3,18.2,,,,,78
2019-2020,Lecce,0,30.0,28.7,44.8,38.0,418.0,3420.0,38.0,54.7,43.5,32.6,76.1,11.0,15.0,98.0,5.0,752.0,54.7,513.0,165.0,32.2,13.5,4.34,0.08,0.25,19.6,,,,,35
2019-2020,Milan,0,32.0,24.6,54.9,38.0,418.0,3420.0,38.0,62.8,56.0,46.0,101.9,8.0,9.0,97.0,6.0,816.0,62.8,610.0,186.0,30.5,16.05,4.89,0.09,0.28,19.0,,,,,66
2019-2020,Napoli,0,25.0,26.9,59.2,38.0,418.0,3420.0,38.0,61.7,57.8,46.8,104.6,5.0,5.0,73.0,2.0,979.0,61.7,683.0,225.0,32.9,17.97,5.92,0.08,0.24,19.0,,,,,62
2019-2020,Parma,0,25.0,28.8,43.8,38.0,418.0,3420.0,38.0,48.4,43.7,33.9,77.6,4.0,6.0,81.0,1.0,673.0,48.4,458.0,145.0,31.7,12.05,3.82,0.11,0.34,19.0,,,,,49
2019-2020,Roma,0,31.0,26.9,52.7,38.0,418.0,3420.0,38.0,73.2,62.8,48.6,111.3,12.0,14.0,111.0,7.0,944.0,73.2,630.0,198.0,31.4,16.58,5.21,0.1,0.31,18.7,,,,,70
2019-2020,SPAL,0,34.0,27.5,46.9,38.0,418.0,3420.0,38.0,40.7,35.2,26.5,61.7,5.0,7.0,98.0,4.0,696.0,40.7,462.0,117.0,25.3,12.16,3.08,0.05,0.19,19.4,,,,,20
2019-2020,Sampdoria,0,31.0,26.0,42.7,38.0,418.0,3420.0,38.0,50.2,40.8,30.8,71.6,9.0,12.0,111.0,7.0,613.0,50.2,549.0,161.0,29.3,14.45,4.24,0.07,0.24,19.4,,,,,42
2019-2020,Sassuolo,0,31.0,26.4,57.5,38.0,418.0,3420.0,38.0,52.9,48.2,39.2,87.4,5.0,6.0,99.0,3.0,902.0,52.9,547.0,191.0,34.9,14.39,5.03,0.12,0.34,19.8,,,,,51
